community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 49,"['friends', 'travelgram', 'travel', 'nature', 'photography', 'graz', 'sun', 'happyme']",80.0,k mean cluster 49,"['history', 'roadtrip', 'cgistudio', 'ipadpro', 'pcsetup', 'gartln', 'lasko', 'gintastic', 'lostsoul', 'tesoro', 'gastronomie', 'garten', 'staystrong', 'Metro', 'gastgeber', 'besterjob', 'guayusatee', 'AIStyria', 'AIAustria', 'gopro', 'Nitro', 'nitro', 'yogastudio', 'yogaimstudio', 'citystroll', 'tattoo', 'dasgramm', 'gastrojobs', 'gastrojobsgraz', '7yearsago', 'gusegg', 'pastrami', 'casino']",0,levenshtein cluster 49,"['kino', 'vino', 'blog', 'nye', 'bio', 'bye', 'bingo', 'beer', 'beeren']",21.0,,,
community cluster 50,"['nature', 'tea', 'happyme', 'italy', 'blacklivesmatter', 'austria', 'summer', 'philippines']",40.0,k mean cluster 50,"['generaliopen', 'SinRopaEsQueTeQuieroVer', 'diemacherin', 'mainlyhardseltzer', 'einfachliebe', 'sanpellegrino', 'innereien', '11erChallenge21', 'individuellelieder', 'ausprobieren', 'chaiseven', 'Digitalisierung', 'digitalisierung', 'thinkdifferent', 'erhatdiehaareschön', 'influencer', 'michaeljackson', 'ichliebeyoga', 'drinkdifferent', 'itkarrieretag', 'itkarriere', 'tierhaarallergie']",0,levenshtein cluster 50,"['trees', 'dp', 'travel', 'strudel', 'travelling', 'art', 'traveling', 'razer', 'trvp']",33.25,,,
community cluster 51,"['friends', 'travelphotography', 'travel', 'nature', 'photography', 'graz', 'tea', 'sea']",77.0,k mean cluster 51,"['visitegypt', 'videography', 'vfbstuttgart', 'visitstyria', 'visitstockholm', 'visionskraft', 'stadtgraz', 'igergraz', 'visitcarinthia', 'mediterran', 'echtgraz', 'discovergraz', 'ansitzromani', 'musikgibtkraft', 'unicorngraz', 'visitsalzburg', 'wirliebengraz', 'livingmydream', 'dasgrammgraz', 'livingingraz', 'cityofgraz', 'visitlinz', 'visitzadar', 'visitcroatia', 'visitpag', 'unigraz', 'musicartsgraz', 'digitalart', 'klinikumgraz', 'ginkograz', 'veganingraz', 'allesfürgraz', 'airportgraz', 'visitschladming']",0,levenshtein cluster 51,"['cat', 'bay', 'bar', 'bio', 'mate', 'bmw', 'eis']",23.625,,,
community cluster 52,"['holiday', 'animals', 'sunshine', 'stayhome', 'love', 'tea', 'sunset', 'vacationmode']",68.0,k mean cluster 52,"['halloweenfood', 'followforfollowback', 'pizzaisalwaysgoodidea', 'halloweencountdown', 'whhhooooooooosssssssshhhhhh']",6.875,levenshtein cluster 52,"['cpu', 'chai', 'chef', 'cgi', 'chill', 'chili', 'chillin', 'corgi']",15.0,,,
community cluster 53,"['blackouttuesday', 'travelphotography', 'travel', 'nature', 'history', 'photography', 'sun', 'sea']",75.0,k mean cluster 53,"['krkisland', 'goallin', 'grillen', 'grazfood', 'grazerbergland', 'transgender', '11erChallenge', 'grapedudes', 'garlando', 'greatchallenges', 'grazliebe', 'grazvegan', 'grazundumgebung', 'grazfoodscene', 'radlen', 'wirschaffendas', 'graztrinkt', 'grazider']",0,levenshtein cluster 53,"['amazing', 'reading', 'band', 'mixing', 'magazin', 'magazine', 'smiling', 'rain']",17.0,,,
community cluster 54,"['view', 'friends', 'holiday', 'travelgram', 'nature', 'inlove', 'graz', 'greece']",57.0,k mean cluster 54,"['omiš', 'milktea', 'unmilk', 'theunmilk', 'tiktok', 'milch', 'milram', 'minze', 'silk', 'munich', 'mucki', 'mia', 'mumok', 'millet']",4.25,levenshtein cluster 54,"['kino', 'cgi', 'vocals', 'gala', 'goals', 'gin', 'girl', 'girls', 'giza']",18.375,,,
community cluster 55,"['animals', 'sunshine', 'love', 'nature', 'life', 'sunset', 'vacationmode', 'dream']",68.0,k mean cluster 55,"['audiotechnica', 'sanehnettejungs', 'panzanoinchianti', 'RunningTerritory', 'stuckinthemiddlewithyou', 'makingthevideo', 'hotinthecity', 'kardamintspritzer', 'natureinthecity', 'cleanthecity', 'standupagainstracism']",6.875,levenshtein cluster 55,"['tasty', 'bar', 'bts', 'tarte', 'uae', 'torte', 'party', 'bf', 'park']",26.25,,,
community cluster 56,"['blackouttuesday', 'love', 'graz', 'vacationmode', 'italy', 'blacklivesmatter', 'austria']",48.375,k mean cluster 56,['hochwurzenhütte'],1.875,levenshtein cluster 56,"['memes', 'erdbeere', 'herz', 'xeen', 'erdbeeren', 'lebanon', 'beeren', 'probieren', 'lernen']",17.5,,,
community cluster 57,"['view', 'blackouttuesday', 'travelgram', 'travel', 'inlove', 'sun', 'sunset', 'dream']",52.0,k mean cluster 57,"['healthy', 'healthyfood', 'healthybreak', 'healthysnack', 'health', 'healthybaking', 'headfullofhoney', 'verysavеwithyou', 'heimdisco', 'healty', 'healtyfood', 'realtalk', 'healthysnacks', 'spreadtheword']",7.75,levenshtein cluster 57,"['photo', 'sports', 'shots', 'shoot', 'support', 'soon', 'sport', 'split']",18.0,,,
community cluster 58,"['blackouttuesday', 'sunshine', 'travel', 'life', 'italy', 'austria', 'philippines']",42.75,k mean cluster 58,['momentslikethese'],1.875,levenshtein cluster 58,"['danke', 'cats', 'uae', 'mare', 'game', 'nike', 'mate', 'cake']",19.0,,,
community cluster 59,"['friends', 'travelphotography', 'travelgram', 'travel', 'history', 'photography', 'vitaminsea', 'inlove']",62.0,k mean cluster 59,"['igersaustria', 'meinausseerland', 'madeinaustria', 'westernaustralia', 'igersausteia', 'agileaustria', 'wakeboardaustria', 'wakeboardcup2020', 'inaustria', 'latinmusic', 'madeinstyria', 'veganaustria', 'upperaustria', 'viennaaustria', 'beautyofaustria', 'wienerneustadt', 'LifelikePRimGespräch', 'schladmingdachstein', 'designedinaustria', 'ideenaustausch', 'familienaufstellung', 'tsambikamountain', 'freedomaustria', 'travelinginaustria', 'flyinginaustria', 'travelinaustria', 'natureinaustria', 'lakeinstyria']",0,levenshtein cluster 59,"['proud', 'blog', 'rost', 'rose', 'brot', 'prost', 'brrrt']",19.125,,,
community cluster 60,"['travel', 'stayhome', 'love', 'history', 'graz', 'sunset', 'vacationmode', 'greece']",64.0,k mean cluster 60,"['stillablondie', 'wärmebildkamera', 'rallyrebenland', 'grilledsalad', 'keramikladen', 'feierabend', 'grimaces', 'stillleben']",9.0,levenshtein cluster 60,"['catlovers', 'carlovers', 'catlover', 'carlover', 'cover', 'tealover']",15.0,,,
community cluster 61,"['view', 'travelphotography', 'travelgram', 'love', 'history', 'sun', 'vacationmode', 'sea']",65.0,k mean cluster 61,"['travel', 'pccooling', 'hotsauceinmybag', 'gardening', 'travelandfood', 'princesinha', 'gusttavolima', 'erfüllung', 'urlaubsfeeling', 'mealplanning', 'grandopening', 'gathering', 'Traveller', 'TravelAddict', 'travelisrael', 'travelaround', 'travelling', 'travelgirls', 'travelshots', 'creativemind', 'autohauslingl', 'traveaddict', 'storytelling', 'tortellini', 'shavedice', 'travelgirl', 'modeling', 'travelbook', 'modelling', 'traveladdict', 'frühling', 'snorkeling', 'vorstellung', 'travelbuddy', 'empirestatebuilding', 'teambuilding', 'sprösslinge', 'problemsolving', 'creativethinking', 'buchhandlung', 'b2bmarketing', 'survivaltraining', 'passagelinz', 'fridayfeeling', 'catering', 'travelbug', 'travelingram', 'taveling', 'travelfriends', 'ralaxing', 'austriatraveling', 'lеtsstаrttuеsdаyеvеning']",0,levenshtein cluster 61,"['ligt', 'liebe', 'life', 'cine', 'nike', 'lake', 'gin', 'vibe', 'vibes']",20.125,,,
community cluster 62,"['travelphotography', 'sunshine', 'history', 'life', 'sunset', 'austria', 'summer']",29.25,k mean cluster 62,"['unfinishedbusiness', 'smallbusiness', 'supportyourlocalbusiness']",4.875,levenshtein cluster 62,"['bay', 'fair', 'bar', 'bts', 'uae', 'band', 'bier', 'bf', 'brand']",14.0,,,
community cluster 63,"['view', 'friends', 'travelphotography', 'travelgram', 'photography', 'graz', 'sun', 'sea']",62.0,k mean cluster 63,"['zufallsfoto', 'finallyvacation']",3.5,levenshtein cluster 63,"['milch', 'jeans', 'benq', 'beach', 'dec', 'beachday', 'band', 'beachdays', 'meat']",15.75,,,
community cluster 64,"['travelphotography', 'holiday', 'italy', 'love', 'photography', 'vacationmode', 'greece']",85.5,k mean cluster 64,"['letztewochezist', 'hochdiehändewochenende', 'exittheroomgraz']",9.75,levenshtein cluster 64,"['jp', 'jan', 'sunny', 'uk', 'bf', 'sun', 'tb', 'funny', 'dxb']",26.25,,,
community cluster 65,"['view', 'friends', 'travelgram', 'love', 'photography', 'graz', 'sun', 'sea']",76.0,k mean cluster 65,"['chipsy', 'sphinx', 'nhd15', 'setup', 'trvp', 'chef', 'zuheiß', 'chips', 'spicedup', 'nushuu', 'phlippi', 'bhfyp', 'schweiz', 'shots', 'chi', 'ethiopia', 'curryshrimp', 'shadow', 'shake', 'suitup', 'shape', 'stop', 'shop', 'sheep', 'shopnow', 'steps', 'sunup', 'ostia', 'shirt']",0,levenshtein cluster 65,"['sommerdrink', 'summerdress', 'summerdrink']",9.75,,,
community cluster 66,"['nurheute', 'animals', 'happyplace', 'sunshine', 'stayhome', 'photography', 'sunset', 'vacationmode']",52.0,k mean cluster 66,"['whatdoyouwanttobe', 'changeyourmindset', 'reisenfuerweltentdecker', 'rechargeyourmitochondria', 'rechargeyoursystems', 'bruisesbutmuchfun', 'thereisnooneanswer']",7.875,levenshtein cluster 66,"['buffet', 'life', 'äpfel', 'lgbt', 'video', 'bye', 'apfel', 'mode', 'kaffee']",20.125,,,
community cluster 67,"['life', 'photography', 'india', 'italy', 'australia', 'summer', 'austria', 'philippines']",34.0,k mean cluster 67,"['followfocus', 'spicyfood', 'mozzarellapomodoro', 'coupleworkout', 'rollsroyce']",8.25,levenshtein cluster 67,"['job', 'ligt', 'love', 'blog', 'lgbt', 'lgbtq', 'rost', 'game', 'pure']",30.625,,,
community cluster 68,"['friends', 'travelgram', 'stayhome', 'love', 'graz', 'vacationmode', 'greece', 'sea']",63.0,k mean cluster 68,"['regularorgoofy', 'welovewhatwedo', 'angstvordiktatur']",6.5,levenshtein cluster 68,"['skate', 'taste', 'moda', 'game', 'mate', 'home', 'mode', 'dose']",21.0,,,
community cluster 69,"['animals', 'vitaminsea', 'sunset', 'sun', 'italy', 'austria', 'sea', 'philippines']",43.0,k mean cluster 69,"['Dorfkinder', 'konditorei', 'coffeine', 'koffein', 'plastikfrei', 'koffeinbonbons', 'koffeinfreiemarry', 'officemanager', 'officecoffee']",13.125,levenshtein cluster 69,"['job', 'blog', 'dose', 'pop', 'dp', 'rose', 'dji', 'dog', 'dxb']",14.0,,,
community cluster 70,"['friends', 'travelgram', 'vitaminsea', 'graz', 'inlove', 'sun', 'summer']",38.25,k mean cluster 70,"['antsboss', 'patriots', 'potatoes', 'hotsauce', 'hotsauces', 'hotstuff', 'hotsaucecompany', 'hottunes', 'hotnews', 'sheisnotlost', 'tfchotshots', 'letsdoit', 'honduras', 'snapshot', '6hourstogo', 'bosshomes', 'batshoes', 'dashoes', 'roteschuhe', 'thoughts']",0,levenshtein cluster 70,"['win', 'kino', 'view', 'vino', 'cine', 'newin', 'cute', 'cake']",31.0,,,
community cluster 71,"['sunshine', 'happyplace', 'love', 'life', 'sun', 'vacationmode', 'austria', 'greece']",58.0,k mean cluster 71,"['promotion', 'exhibition', 'productdesign', 'produktvideo', 'productcommercial', 'productshots', 'productioncompany', 'postproduction', 'productionoffice', 'preproduction', 'productive', 'postproductionstudio', 'videoproduction', 'animalprotection', 'tradition', 'localproduction', 'sprintnation', 'produkttest', 'produktneuheit', 'produktreview', 'extraction', 'productshot', 'producing', 'produciendo', 'vocalproduction', 'chefredaktion', 'rEVOLution']",0,levenshtein cluster 71,"['love', 'uae', 'moon', 'boss', 'see', 'tealover', 'blue', 'town', 'tealove']",28.0,,,
community cluster 72,"['friends', 'holiday', 'love', 'inlove', 'graz', 'sun', 'italy', 'greece']",71.0,k mean cluster 72,"['kenya', 'weekend', 'clouds', 'read', 'london', 'gesund', 'lavendel', 'lernen', 'lendplatz', 'Island', 'lgbt', 'ente', 'lemon', 'spende', 'benakd', 'lendhafen', 'ready', 'abend', 'hund', 'linz', 'allesneu', 'kühlend', 'gewa', 'pets', 'red', 'island', 'dirndl', 'trend', 'hendl', 'lehre', 'selenium', 'lindos', 'needed', 'zelena', 'blond', 'doldendark']",0,levenshtein cluster 72,"['quarantäne', 'quarantine']",7.0,,,
community cluster 73,"['view', 'travelgram', 'love', 'inlove', 'graz', 'sunset', 'vacationmode', 'greece']",56.0,k mean cluster 73,"['schokoriegel', 'suesstoffe', 'schönensonntag', 'shoesdaily', 'shoefashionista', 'shoes2021', 'shoes2020', 'shoesoftheweek', 'shoefie', 'shoesofinsta', 'shoeaholic', 'schokotiger', 'sachódsłońca']",5.25,levenshtein cluster 73,"['graz', 'fair', 'chai', 'hvar', 'flir', 'ronin', 'cairo', 'rain', 'brand']",11.375,,,
community cluster 74,"['view', 'sunshine', 'life', 'inlove', 'india', 'austria', 'summer']",22.5,k mean cluster 74,"['cakelover', 'wildheart', 'recover', 'wertvoll', 'tealover', 'reload24', 'weloveourjob', 'lifelikepr', 'believer', 'gefülltepaprika', 'welovegraz']",8.125,levenshtein cluster 74,"['bestfriend', 'bestfriends']",5.25,,,
community cluster 75,"['friends', 'travelgram', 'love', 'inlove', 'graz', 'greece']",57.5,k mean cluster 75,"['isrealstopkillingchildren', 'idealofsweden', 'kundenzufriedenheit', 'informationstechnologie']",6.0,levenshtein cluster 75,"['jp', 'jan', 'dp', 'dec', 'uae', 'bye', 'bf', 'diy', 'tb']",18.375,,,
community cluster 76,"['friends', 'sunshine', 'travelgram', 'life', 'sunset', 'vacationmode', 'austria', 'summer']",44.0,k mean cluster 76,"['birthdayvacation', 'summeredition', 'wuexecutiveacademy', 'summerfashion', 'sommercocktails', 'sommelierunion', 'feierlocation', 'hochzeitslocation', 'summermemories']",7.875,levenshtein cluster 76,"['pyramids', 'pyramid']",3.5,,,
community cluster 77,"['friends', 'holiday', 'animals', 'sunshine', 'love', 'graz', 'sunset', 'greece']",67.0,k mean cluster 77,"['followyourheart', 'naopercomeutempo', 'customerjourney']",4.875,levenshtein cluster 77,"['öbb', 'lgbt', 'cgi', 'bts', 'lgbtq', 'egipto', 'egypt', 'egitto', 'dxb']",9.625,,,
community cluster 78,"['friends', 'life', 'graz', 'india', 'austria', 'summer', 'philippines']",22.5,k mean cluster 78,"['rooftopviews', 'fkcojones', 'brothers', 'onlinkekurs', 'Olympics', 'blogpost', 'snooker', 'longlegs', 'maltesers', 'fluffsters', 'aufopfern', 'baloncesto']",6.0,levenshtein cluster 78,"['kino', 'sailing', 'skiing', 'hiking', 'mixing', 'bulking', 'smiling']",20.25,,,
community cluster 79,"['nurheute', 'holiday', 'stayhome', 'love', 'graz', 'sunset', 'vacationmode', 'greece']",61.0,k mean cluster 79,"['foodinsta', 'immunsystem', 'demacadamianutfarm', 'nieohnemeinteam', 'sorrynotvegan', 'bonussystem', 'rooibostea', 'blumenstrauß', 'modainsta']",7.875,levenshtein cluster 79,"['schneschuhwandern', 'schneeschuhwandern']",3.5,,,
community cluster 80,"['sunshine', 'animals', 'holiday', 'graz', 'greece', 'australia', 'dream', 'austria']",31.0,k mean cluster 80,"['LoDeNosotrosEsUnSecreto', 'bestFoodFotoChallenge21', 'rhyhtmusinstrumentefürkinder', 'funtimestogether', 'bestteamever', 'bestcostume', 'verantwortungübernehmen']",7.875,levenshtein cluster 80,"['studio', 'styria', 'cgistudio', 'cgstudio', 'strudel', 'vfxstudio', 'student', 'stadt']",25.0,,,
community cluster 81,"['summer', 'holiday', 'love', 'sunset', 'vacationmode', 'greece']",67.5,k mean cluster 81,['frühstückistdiewichtigstemahlzeitdestages'],1.875,levenshtein cluster 81,"['austria', 'auszeit', 'style', 'styria', 'australia', 'autorin', 'italy', 'italia', 'austin']",37.625,,,
community cluster 82,"['sunshine', 'holiday', 'love', 'life', 'india', 'austria', 'summer']",48.375,k mean cluster 82,"['facebooklive', 'doorsofgreece']",3.5,levenshtein cluster 82,"['women', 'vote', 'love', 'hotel', 'ootd', 'horse', 'home', 'foto']",44.0,,,
community cluster 83,"['animals', 'happyplace', 'sunshine', 'love', 'sunset', 'vacationmode', 'austria', 'summer']",49.0,k mean cluster 83,"['hotsauceislife', 'pradeiserlove', 'lovelypeople', 'loveofmylife', 'lifewisdom', 'bakewithlove', 'flowerlove', 'lifestylemodel', 'liveshow', 'ilovemylife', 'conceptstore', 'lovetoshop', 'loveatthefirsttouch', 'ilovethiscity', 'popupstore', 'lifeischange', 'spreadlove', 'confiserie', 'lifeisgood', 'lovelyspot', 'forestlover', 'lifeislife', 'forestlove', 'lovelove']",0,levenshtein cluster 83,"['fotography', 'fotografie', 'photography']",35.75,,,
community cluster 84,"['nurheute', 'italy', 'animals', 'stayhome', 'sunset', 'vacationmode', 'australia', 'austria']",38.0,k mean cluster 84,"['roadtrippin', 'computersetup', 'asolasremix', 'airplanehotel', 'rocknroll', 'urlaubsgefühl', 'goldenretriever', 'urbanandstreet']",8.0,levenshtein cluster 84,"['cat', 'mut', 'atp', 'cpu', 'chai', 'jan', 'uae', 'sun', 'meat']",24.5,,,
community cluster 85,"['throwback', 'stayhome', 'vollfein', 'supportyourlocal', 'verrücktnachmarry', 'philippines']",42.5,k mean cluster 85,"['3dmotiondesign', 'officedesign', 'studiodesign', 'motiondesigner', 'bosniaandherzegovina', 'motioncookingstudio', 'motioncookingontour', 'MotionKitchen', 'motionkitchen', 'interiordesign', 'recordingsession', 'lockdownbeschäftigung', 'footweardesign', 'costumedesign']",4.0,levenshtein cluster 85,"['vacay', 'bay', 'tasty', 'japan', 'party', 'happyday', 'happy', 'happyme', 'marry']",43.75,,,
community cluster 86,"['summer', 'sunshine', 'animals', 'sunset', 'vacationmode', 'dream']",36.25,k mean cluster 86,"['feedbacksystem', 'doublebass']",3.5,levenshtein cluster 86,"['tarte', 'mare', 'party', 'curry', 'cherry', 'mode', 'art', 'marry', 'pure']",31.5,,,
community cluster 87,"['sunshine', 'animals', 'sunset', 'india', 'italy', 'austria', 'summer']",31.5,k mean cluster 87,"['zerogravitydubai', 'zerowaste', 'zahnpastatabs', 'metrocashandcarry', 'spaziergangmitbaby', 'verrücktnachbarry', 'zerowasteliving', 'zerowastevienna', 'zerowastegraz', 'turmwärterhaus']",10.5,levenshtein cluster 87,"['women', 'view', 'video', 'wine', 'gin', 'new', 'wein', 'review', 'wien']",33.25,,,
community cluster 88,"['sunshine', 'animals', 'life', 'india', 'austria', 'summer']",20.0,k mean cluster 88,"['mindset', 'concert', 'winzer', 'winter', 'gönnen', 'burger', 'gingin', 'liquor', 'kaminfeuer', 'pinkgin', 'tigertiger', 'pioniere', 'hunger', 'dinkel', 'ingwer', 'gingershot', '1gsugar', 'heißhunger', 'pinscher', 'göneral', 'dinner', 'insel', 'kinder', 'Wieninger', 'weingut', 'wieninger', 'singen', 'gender', 'Winter', 'lingerie', 'vinyard', 'gymwear', 'singer', 'gönndir', 'winnetou', 'gleinkersee', 'inked', 'ottakringer', 'linsen', 'mingin', 'gingerbeer', 'gingerbrew', 'popsinger']",0,levenshtein cluster 88,"['natur', 'atp', 'smile', 'milk', 'fair', 'cats', 'familie', 'fruity', 'family']",30.625,,,
community cluster 89,"['werbung', 'productdesign', 'india', 'italy', 'australia', 'dream', 'austria', 'creative']",23.0,k mean cluster 89,"['shorthairdontcare', 'espressomachine', 'eyebrowsonfleek', '14yearsonmyside', 'asiahausklagenfurt', 'selfconfidence', 'girlsonfire', 'changeyourvibe', 'großersonnstein', 'stringsonfire', 'stonesculpture', 'shoesofthefuture', 'heelsonfire', 'shoesforwomen', 'singersongwriter', 'WhereIsMyName']",0.0,levenshtein cluster 89,"['buffet', 'coffee', 'couple', 'icecoffee', 'sofresh', 'office', 'koffein', 'sofree', 'kaffee']",28.0,,,
community cluster 90,"['summer', 'happy', 'happiness', 'sunday', 'beach', 'italy', 'happyweekend', 'croatia']",54.0,k mean cluster 90,"['togetherwearestronger', 'motherhoodunplugged']",3.5,levenshtein cluster 90,"['food', 'pool', 'pop', 'wood', 'moon', 'ootd', 'soon', 'cold', 'mood']",31.5,,,
community cluster 91,"['home', 'happy', 'summervibes', 'weekendmood', 'friday', 'instagood', 'happyme', 'sunnydays']",65.0,k mean cluster 91,"['constructiondays', 'thetoughquestions', 'jensonbutton', 'weingutjordan', 'bestlocation', 'selfisolation']",7.5,levenshtein cluster 91,"['pride', 'spring', 'hiking', 'drink', 'mixing', 'cooking', 'shopping', 'split', 'smiling']",36.75,,,
community cluster 92,"['happy', 'photography', 'verrucktnachmarry', 'tbt', 'sunset', 'happysunday', 'weekendvibes', 'weekend']",67.0,k mean cluster 92,"['wolfsrudelsportsteam', 'teufelstein', 'oeverseepark']",4.875,levenshtein cluster 92,"['job', 'öbb', 'atp', 'bts', 'sea', 'tb', 'em', 'tea', 'ikea']",24.5,,,
community cluster 93,"['sunshine', 'girlstrip', 'flowers', 'happy', 'homeoffice', 'mondaymotivation', 'sun', 'autumn']",51.0,k mean cluster 93,"['stoppsexuellebelästigung', 'socialmediamarketing', 'vollkommenunbezahltewerbung', 'itscalledpalestine', 'socialmediapause', 'socialmediaexperts', 'socialmediaagentur', 'socialmediabetreuung', 'socialmediatipps']",8.75,levenshtein cluster 93,"['job', 'vino', 'onset', 'band', 'fun', 'sunset', 'soon', 'kunst', 'pure']",30.625,,,
