community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 3491,"['insight', 'exclusive', 'shopdesign', 'shopdesigner', 'research', 'insights', 'redheels', 'project']",9,-0.00709219858156,-0.063829787234042
community cluster 1058,"['zuckerreduziert', 'lernen', 'party', 'energy', 'abnehmen', 'vegetarisch', 'erdbeere', 'wein']",32,-0.002298850574713,-0.073563218390804
community cluster 3087,"['expensivelifestyle', 'halloweencountdown', 'expensive', 'costume', 'expensivelifestyles', 'coronacostume', 'memes', 'costumedesign']",10,-0.00968992248062,-0.096899224806203
community cluster 88,"['sunshine', 'animals', 'life', 'india', 'austria', 'summer']",20,-0.005376344086021,-0.10752688172043
community cluster 3429,"['digitalart', 'firstprize', 'meets', 'redhighheels', 'toohot', 'redheels']",11.25,-0.00974025974026,-0.109577922077924
community cluster 2956,"['footpainrelief', 'bestcostumeever', 'footpain', 'nomore', 'footpainsucks', 'newshoesdaily', 'newshoes', 'batcostume']",9,-0.013698630136986,-0.123287671232876
community cluster 3329,"['sapatosfemininos', 'luxuryshoes', 'murinsel', 'newin', 'sapatilhalovers', 'trend', 'shoefreak', 'shoesonfire']",11,-0.01123595505618,-0.123595505617977
community cluster 3330,"['worldsfirst', 'popuplab', 'niedagewesen', 'summer2020', 'shoesonfire', 'gefühl', 'watercooling', 'hothothot']",9,-0.014492753623189,-0.130434782608697
community cluster 2954,"['footwearfashion', 'artofinstagram', 'footwear', 'footweardesign', 'highheelshoes', 'highheelsneakers', 'newshoes', 'memes']",12,-0.012987012987013,-0.155844155844155
community cluster 3104,"['worldsfirst', 'murinsel', 'trend', 'shoefreak', 'summer2020', 'watercooling', 'hothothot', 'memes']",11,-0.014492753623189,-0.159420289855074
community cluster 3400,"['worldsfirst', 'yellowheels', 'murinsel', 'trend', 'shoefreak', 'summer2020', 'watercooling', 'hothothot']",11,-0.014492753623189,-0.159420289855074
community cluster 3117,"['innovative', 'project', 'insight', 'exclusive', 'shopdesign', 'shopdesigner', 'research', 'memes']",10,-0.016393442622951,-0.163934426229508
community cluster 2472,"['favoritesongrightnow', 'qualitytime', 'missaustriasomuch', 'home', 'tryingnewways', 'beberhexa', 'inspirationalpost', 'bright']",20,-0.008474576271186,-0.169491525423728
community cluster 3501,"['idontgiveashit', 'footwearnews', 'instashoestyle', 'blonde', 'redhighheels', 'shoesfashionista', 'shooting', 'damenschuhe']",15,-0.01219512195122,-0.182926829268292
community cluster 3376,"['teilenerwünscht', 'vote', 'diesteirerin', 'dicoverunder5k', 'vote2020', 'teilen', 'stadtgraz', 'yellowshoes']",16,-0.011494252873563,-0.183908045977011
community cluster 2991,"['fridaymood', 'newshoes', 'feetup', 'fridayfeet', 'dressup', 'feetupfriday', 'fashionable', 'fridayfeeling']",11,-0.017241379310345,-0.189655172413795
community cluster 3518,"['fridaymood', 'firstprize', 'feetup', 'fridayfeet', 'dressup', 'feetupfriday', 'fashionable', 'fridayfeeling']",11,-0.017241379310345,-0.189655172413795
community cluster 3469,"['sapatosfemininos', 'newin', 'sapatilhalovers', 'firstprize', 'shoefreak', 'redhighheels']",11.25,-0.017857142857143,-0.200892857142858
community cluster 2814,"['mittagessen', 'urlaub', 'genuss', 'essen', 'fleisch', 'duft', 'vegetarisch', 'kaffee']",33,-0.006451612903226,-0.212903225806451
community cluster 2999,"['designlover', 'atnight', 'designboom', 'architecture', 'architecturelover', 'design', 'dezeen', 'newshoes']",12,-0.017857142857143,-0.214285714285715
community cluster 2872,"['interiordesign', 'designers', 'relaxing', 'industrialdesign', 'designerwear', 'designinterior', 'newshoes', 'architecturedesign']",16,-0.013888888888889,-0.222222222222224
community cluster 693,"['cuatrobabys', 'halloween', 'barjokes', 'london', 'pumpkin', 'meow', 'sertanejo', 'summer']",15,-0.014925373134328,-0.223880597014925
community cluster 3496,"['accessories', 'signalcolor', 'firstprize', 'redlove', 'redshoes', 'redhighheels', 'red']",12.375,-0.018867924528302,-0.233490566037737
community cluster 3824,"['basketball', 'ball', 'fresh', 'water', 'urbanandstreet', 'berlinbreeze', 'afghanistan', 'summer']",15,-0.015873015873016,-0.238095238095237
community cluster 3823,"['aboutlastnight', 'berlindayandnight', 'afghanistan', 'berlinmusic', 'tegelersee', 'nightshooters', 'beats', 'laplaya']",10,-0.024096385542169,-0.240963855421687
community cluster 3466,"['goneswimming', 'firstprize', 'sneakerhead', 'shoesday', 'redhighheels', 'shoefan']",10,-0.024725274725275,-0.247252747252748
community cluster 3554,"['liefernlassen', 'zeitmitkindern', 'zeitmitdenliebsten', 'menükarte', 'mitliebegemacht', 'hunger', 'zeitmitderfamilie', 'liefern']",10,-0.026315789473684,-0.263157894736843
community cluster 3848,"['miejskadżungla', 'longboarding', 'flamingo', 'halfpipe', 'skate', 'vienna', 'havingfun', 'VIENNA']",22,-0.01219512195122,-0.268292682926828
community cluster 3054,"['mumsupport', 'surrealismus', 'magritte', 'firstprize', 'surrealism', 'miracle', 'ever', 'renemagritte']",9,-0.03030303030303,-0.272727272727273
community cluster 3461,"['myshoestoday', 'firstprize', 'stylishshoes', 'redhighheels', 'shoesofig', 'shoesforwomen']",10,-0.027355623100304,-0.27355623100304
community cluster 3328,"['goneswimming', 'fashiongram', 'fashionshoes', 'fancyshoes', 'sneakerhead', 'shoesday', 'shoesonfire', 'shoefan']",10,-0.027397260273973,-0.273972602739727
community cluster 3333,"['accessories', 'statement', 'redlove', 'redshoes', 'shoesonfire', 'redhighheels', 'red', 'redheels']",13,-0.021505376344086,-0.27956989247312
community cluster 712,"['theoneilovethemost', 'nephew', 'tesoro', 'meucoração', 'felizdiadosnamorados', 'sertanejo', 'falcao', 'valentine']",10,-0.028301886792453,-0.283018867924528
community cluster 2895,"['shoearchitect', 'mockerymia', 'firstprize', 'shoemaker', 'shoestyles', 'concrete', 'shoesdesigner', 'shoemakers']",9,-0.031746031746032,-0.285714285714287
community cluster 3527,"['interiordesign', 'atnight', 'designers', 'firstprize', 'designerwear', 'industrialdesign', 'designinterior', 'architecturedesign']",11,-0.027397260273973,-0.301369863013699
community cluster 1574,"['interiordesign', 'murinsel', 'mode', 'design', 'fashion']",28.875,-0.010452961672474,-0.301829268292684
community cluster 3314,"['yellowheels', 'wedgesshoesheels', 'yellowheel', 'heelsonfire', 'shoesonfire', 'redhighheels', 'yellowhighheels', 'yellowshoes']",13,-0.023255813953489,-0.30232558139535
community cluster 3654,"['lakeinaustria', 'chillmood', 'lakephotography', 'tavel', 'austriamountain', 'natureinthecity', 'lakegram', 'austria']",7,-0.043478260869565,-0.304347826086957
community cluster 591,"['magazin', 'nachhaltig', 'news', 'bar', 'magazine', 'austria']",25,-0.012345679012346,-0.308641975308645
community cluster 1724,"['schwarztee', 'mate', 'vegan', 'blacktea', 'beeren', 'zitrone', 'summer', 'erfrischung']",31,-0.010344827586207,-0.320689655172419
community cluster 3473,"['worldsfirst', 'popuplab', 'firstprize', 'niedagewesen', 'redhighheels', 'watercooling', 'redheels']",11.25,-0.028571428571429,-0.321428571428572
community cluster 909,"['asianfood', 'urlaubsfeeling', 'lecker', 'vegan', 'ferien', 'erdbeeren', 'healthyfood', 'veganfood']",53,-0.006172839506173,-0.327160493827159
community cluster 3119,"['interiordesign', 'atnight', 'designers', 'designerwear', 'industrialdesign', 'designinterior', 'memes', 'architecturedesign']",12,-0.027397260273973,-0.328767123287672
community cluster 394,"['tea', 'icetea', 'tee', 'beautiful', 'coffee', 'milktea', 'yummy']",58.5,-0.005714285714286,-0.334285714285713
community cluster 1181,"['music', 'muttertag', 'tasty', 'party', 'holidays', 'fun', 'yummy']",74.25,-0.004608294930876,-0.34216589861751
community cluster 3083,"['theshowmustgoon', 'lockdown2020', 'igersvienna', 'staypositive', 'reboot2020', 'announcement', 'dashoes', 'memes']",15,-0.022988505747127,-0.344827586206897
community cluster 3002,"['heelerella', 'story', 'shoediary', 'glass', 'newshoes', 'memes']",11.25,-0.031007751937984,-0.348837209302324
community cluster 3835,"['rollsroyce', 'streetstyle', 'onset', 'dancers', 'chicas', 'berlin', 'musicvideo', 'urban']",22,-0.015873015873016,-0.349206349206348
community cluster 2981,"['instagramshoes', 'stylingshoes', 'myshoestoday', 'madeinitalyshoes', 'stylishshoes', 'newshoes', 'shoesofig', 'shoesforwomen']",9,-0.038805970149254,-0.349253731343284
community cluster 3866,"['chillaxing', 'relajada', 'violet', 'chill', 'mood', 'berlin', 'kreuzberg', 'sunglasses']",20,-0.018181818181818,-0.363636363636362
community cluster 3652,"['natureshots', 'travelinaustria', 'outdoorshoot', 'naturel', 'naturehome', 'schladmingplanai', 'naturepic', 'austria']",7,-0.052631578947368,-0.368421052631578
community cluster 3482,"['uniquewomen', 'uniquejewelry', 'roteschuhe', 'uniquewoman', 'style2020', 'rotehighheels', 'unique', 'redheels']",10,-0.037037037037037,-0.37037037037037
community cluster 3470,"['sapatosfemininos', 'sapatilhalovers', 'firstprize', 'trend', 'shoefreak', 'redhighheels', 'redheels']",11.25,-0.032967032967033,-0.370879120879121
community cluster 2996,"['shop', 'designshoes', 'zur', 'mut', 'größe', 'shoeshop', 'shoplocal', 'newshoes']",13,-0.028571428571429,-0.371428571428572
community cluster 2156,"['experiment', 'ingredients', 'icetea', 'startuplife', 'random', 'advertisement', 'snapshot', 'yasmintee']",22,-0.016949152542373,-0.372881355932202
community cluster 3802,"['cloudstagram', 'cloudslime', 'cloudscape', 'natureshot', 'cloudssurfing', 'clouds', 'cloudsurfing', 'sunfun']",10,-0.038461538461539,-0.384615384615384
community cluster 3100,"['instashoes', 'pumpshoe', 'stylereport', 'pumps', 'designed', 'pumpshoes', 'highquality', 'memes']",11,-0.035714285714286,-0.392857142857143
community cluster 3484,"['lifeisbeautiful', 'newstyle', 'fashionstyle', 'newstory', 'lifeischange', 'fashioninspo', 'redheels', 'lifestyle']",16,-0.025,-0.400000000000001
community cluster 3369,"['accessories', 'signalcolor', 'roteschuhe', 'redlove', 'redshoes', 'redhighheels', 'rotehighheels', 'yellowshoes']",11,-0.037037037037037,-0.407407407407408
community cluster 1650,"['hapaglloydcruises', 'ReadyForRestart', 'WorldClassMoments', 'fernweh', 'vitaminsea', 'jobsonboard', 'notjustapearlchallenge', 'seachefs']",11,-0.037383177570094,-0.411214953271029
community cluster 2524,"['freedomaustria', 'freedom', 'lifeislife', 'hiking', 'mountains', 'madeinaustria', 'paradise', 'mountainlove']",31,-0.013333333333333,-0.413333333333332
community cluster 3338,"['idontgiveashit', 'footwearnews', 'instashoestyle', 'shoesonfire', 'feetupfriday', 'blonde', 'shoesfashionista', 'damenschuhe']",9,-0.047058823529412,-0.423529411764706
community cluster 3544,"['betriebsurlaub', 'urlaub', 'öffentlicherreichbar', 'inklusiv', 'mitliebegemacht', 'menu', 'parkplätze', 'nachhaltigkeit']",18,-0.023809523809524,-0.42857142857143
community cluster 3559,"['regionaleunternehmen', 'produkte', 'nachhaltig', 'mitliebegemacht', 'barrierfrei', 'kooperation', 'nachhaltigkeitimalltag', 'kooperationspartner']",17,-0.02542372881356,-0.43220338983051
community cluster 2381,"['goodmorning', 'sonntag', 'sightseeing', 'teeliebe', 'zeit', 'sonne', 'selfie', 'blumen']",28,-0.015625,-0.437499999999998
community cluster 3285,"['lifeisbeautiful', 'newstyle', 'fashionstyle', 'newchapter', 'newstory', 'lifeischange', 'halloween2020', 'lifestyle']",18,-0.025,-0.450000000000001
community cluster 3709,"['natureshots', 'naturelover', 'natureinspiration', 'naturel', 'madeinaustria', 'naturepic', 'nature_perfection', 'naturinösterreich']",13,-0.035714285714286,-0.464285714285714
community cluster 3111,"['fridaymood', 'fashionstyle', 'fashioninspo', 'dressup', 'fridayfeet', 'fashionable', 'memes', 'fridayfeeling']",14,-0.033898305084746,-0.474576271186442
community cluster 3080,"['firstfashionista', 'shoesofthefuture', 'shoedazzlegirl', 'firstfashioninfluencer', 'statementpiece', 'shoes2021', 'shoefashionista', 'memes']",10,-0.047619047619048,-0.476190476190476
community cluster 820,"['genderequality', 'feminism', 'equality', 'afghanistan', 'feminismus', 'genderdiversity', 'diedohnal', 'thefutureisfemale']",12,-0.040540540540541,-0.486486486486487
community cluster 3416,"['interiordesign', 'yellowheels', 'designlover', 'atnight', 'designerwear', 'industrialdesign', 'designinterior', 'architecturedesign']",12,-0.040540540540541,-0.486486486486487
community cluster 2986,"['highheelsshoes', 'heelsaddict', 'highheelmadness', 'fashionlover', 'highheelsmurah', 'newstart', 'newshoes', 'freshstart']",11,-0.044444444444445,-0.488888888888889
community cluster 2952,"['mumsupport', 'surrealismus', 'magritte', 'surrealism', 'highheels', 'newshoes', 'ever', 'renemagritte']",11,-0.044776119402985,-0.492537313432836
community cluster 3638,"['österreichweit', 'cessna152', 'styria', 'madeinaustria', 'natureshot', 'osterreichtrip', 'austria']",29.25,-0.016949152542373,-0.49576271186441
community cluster 1071,"['abnehmen', 'frucht']",7,-0.071428571428572,-0.5
community cluster 3488,"['teilenerwünscht', 'spreadpositivity', 'vote', 'diesteirerin', 'share', 'vote2020', 'teilen', 'redheels']",15,-0.033707865168539,-0.505617977528088
community cluster 3642,"['oststeiermark', 'stagbettle', 'forestlife', 'forestlover', 'naturelife', 'naturegram', 'naturejewels', 'austria']",7,-0.072463768115942,-0.507246376811595
community cluster 1968,"['cheersrost', 'wine', 'ingwer', 'ginger', 'wermut', 'editions', 'cheers', 'wermouth']",27,-0.018867924528302,-0.509433962264149
community cluster 3287,"['idontgiveashit', 'halloween2020', 'footwearnews', 'instashoestyle', 'blonde', 'feetupfriday', 'shoesfashionista', 'damenschuhe']",11,-0.047058823529412,-0.517647058823529
community cluster 3279,"['sapatosfemininos', 'murinsel', 'halloween2020', 'trend', 'shoefreak', 'summer2020', 'watercooling', 'hothothot']",12,-0.043478260869565,-0.521739130434782
community cluster 3367,"['highheelsshoes', 'heelsaddict', 'heelslover', 'highheelsmurah', 'newstart', 'freshstart', 'heels', 'yellowshoes']",9,-0.059375,-0.534375
community cluster 3137,"['firstfashionista', 'shoesfromheaven', 'firstfashioninfluencer', 'paradise', 'happyhalloween', 'fashionphotography', 'heavenly', 'shoefashionista']",15,-0.036144578313253,-0.542168674698795
community cluster 3334,"['uniquewomen', 'signalcolor', 'uniquejewelry', 'roteschuhe', 'uniquewoman', 'shoesonfire', 'rotehighheels', 'unique']",10,-0.054545454545455,-0.545454545454545
community cluster 3370,"['uniquewomen', 'uniquejewelry', 'uniquewoman', 'style2020', 'styleinspo2020', 'unique', 'chaos', 'yellowshoes']",10,-0.054545454545455,-0.545454545454545
community cluster 3497,"['uniquewomen', 'uniquejewelry', 'roteschuhe', 'uniquewoman', 'style2020', 'redhighheels', 'rotehighheels', 'unique']",10,-0.054545454545455,-0.545454545454545
community cluster 3500,"['fridaymood', 'feetup', 'dressup', 'redhighheels', 'fridayfeet', 'feetupfriday', 'fashionable', 'fridayfeeling']",11,-0.05,-0.55
community cluster 772,"['eventfürfrauen', 'vernetzung', 'femalefuturefestivalgraz', 'steiermark', 'femalefutureforce', 'igersbregenz', 'speakerin', 'igeragraz']",24,-0.022988505747127,-0.551724137931036
community cluster 2825,"['hortensien', 'farbenfrohewelt', 'freude', 'shopping', 'vienna', 'colours', 'duft', 'lavendel']",32,-0.017241379310345,-0.551724137931039
community cluster 2338,"['urbanjungle', 'rollsroyce', 'quarantine', 'steiermark', 'relaxing', 'austria', 'livemusic', 'stayhealthy']",37,-0.015151515151515,-0.560606060606059
community cluster 913,"['urlaubsfeeling', 'rezeptideen', 'ferien', 'hunger', 'food', 'igersgraz', 'zuckerfrei', 'sugarfree']",46,-0.01219512195122,-0.560975609756096
community cluster 1448,"['foodphotography', 'homemade', 'foodporn', 'essen', 'foodstagram', 'instafood', 'foodies', 'yummy']",45,-0.0125,-0.562499999999998
community cluster 706,"['myseagullfriend', 'imfromthesouthbronx', 'naopercomeutempo', 'nuncamais', 'beijinhos', 'anittabrazil', 'sertanejo', 'tchau']",9,-0.0625,-0.562499999999999
community cluster 1001,"['erfrischungsgetränk', 'herbst', 'apfelwein', 'organic', 'sommerdrink', 'drink', 'plantbased']",31.5,-0.017857142857143,-0.562500000000002
community cluster 3098,"['vatertag2020', 'modainsta', 'mode', 'bedifferent', 'vatertag', 'memes', 'fathersday2020', 'fathersday']",12,-0.047619047619048,-0.571428571428572
community cluster 56,"['blackouttuesday', 'love', 'graz', 'vacationmode', 'italy', 'blacklivesmatter', 'austria']",48.375,-0.011904761904762,-0.575892857142855
community cluster 740,"['selbstbewusstsein', 'glaubandich', 'selbstliebe', 'bewusstheit', 'dubistwertvoll', 'wahrheit']",16.25,-0.035714285714286,-0.580357142857143
community cluster 2598,"['fotterbreakfastclub', 'frühstückeningraz', 'frühstückingraz', 'supportyourlocal', 'fottern', 'breakfastingraz', 'bestbreakfast']",24.75,-0.023529411764706,-0.582352941176469
community cluster 3740,"['artlovers', 'cessna152', 'kreuzteich', 'artgram', 'artofinstagram', 'tragöss', 'artoftheday', 'artwork']",15,-0.03921568627451,-0.588235294117647
community cluster 3790,"['artlovers', 'kreuzteich', 'artgram', 'artofinstagram', 'natureshot', 'tragöss', 'artoftheday', 'artwork']",15,-0.03921568627451,-0.588235294117647
community cluster 3136,"['bondingtime', 'motherhoodunplugged', 'bondingmoment', 'happyhalloween', 'child', 'motherandbaby', 'bondingmoments', 'maria']",10,-0.058823529411765,-0.588235294117647
